epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,19382,1.30102,0.89814,1.54978,0.92081,0.93649,0.95678,0.66872,1.11686,0.56025,1.37168,0.005842,0.005842,0.005842
44,19831,1.29055,0.88487,1.53635,0.91944,0.94104,0.95773,0.66881,1.11504,0.55856,1.37006,0.005743,0.005743,0.005743
45,20278.7,1.29107,0.88388,1.53328,0.91989,0.9404,0.95811,0.67037,1.11433,0.55764,1.36876,0.005644,0.005644,0.005644
46,20727,1.28475,0.88478,1.53198,0.91992,0.94075,0.95851,0.67035,1.11294,0.55521,1.36829,0.005545,0.005545,0.005545
47,21169.4,1.2822,0.87652,1.5268,0.91707,0.9454,0.96005,0.67234,1.1115,0.55297,1.36679,0.005446,0.005446,0.005446
48,21611.3,1.27871,0.87502,1.52364,0.92121,0.94206,0.96056,0.67282,1.1104,0.55084,1.36526,0.005347,0.005347,0.005347
49,22051.8,1.26601,0.86201,1.5177,0.92059,0.94294,0.96038,0.67284,1.10877,0.54887,1.36401,0.005248,0.005248,0.005248
50,22492.6,1.26664,0.85768,1.51571,0.92325,0.94488,0.96185,0.67317,1.10683,0.54763,1.36244,0.005149,0.005149,0.005149
51,22935.5,1.25914,0.8512,1.51109,0.92168,0.94819,0.96055,0.67444,1.10571,0.54621,1.36074,0.00505,0.00505,0.00505
52,23374,1.24905,0.85069,1.50279,0.92196,0.9477,0.96184,0.6754,1.10477,0.54524,1.36004,0.004951,0.004951,0.004951
53,23816.7,1.25332,0.83754,1.49852,0.92335,0.94621,0.96304,0.67548,1.10345,0.5435,1.35904,0.004852,0.004852,0.004852
54,24258.8,1.23943,0.83642,1.49078,0.92448,0.95097,0.96465,0.67643,1.10199,0.54216,1.35744,0.004753,0.004753,0.004753
55,24700.3,1.24557,0.83562,1.49851,0.92333,0.95267,0.96482,0.67772,1.10079,0.54049,1.35594,0.004654,0.004654,0.004654
56,25140.1,1.23774,0.83238,1.49144,0.92717,0.95097,0.96476,0.67742,1.09924,0.53948,1.35473,0.004555,0.004555,0.004555
57,25579.7,1.22745,0.81883,1.47623,0.93118,0.94984,0.96486,0.67716,1.09771,0.538,1.35314,0.004456,0.004456,0.004456
58,26018.5,1.21962,0.81853,1.47839,0.93311,0.94816,0.96446,0.6779,1.09626,0.53671,1.35191,0.004357,0.004357,0.004357
59,26462,1.22141,0.80863,1.47379,0.93165,0.94917,0.96462,0.67852,1.09544,0.53549,1.35086,0.004258,0.004258,0.004258
60,26906.7,1.20433,0.80304,1.46563,0.93128,0.94819,0.96498,0.67895,1.09439,0.53396,1.34975,0.004159,0.004159,0.004159
61,27347.6,1.20769,0.80009,1.46942,0.93007,0.94844,0.96493,0.68023,1.0929,0.53253,1.34888,0.00406,0.00406,0.00406
62,27786.9,1.20267,0.78999,1.46427,0.93049,0.94714,0.96272,0.68066,1.09165,0.53164,1.34746,0.003961,0.003961,0.003961
63,28228,1.19701,0.7869,1.45813,0.93196,0.94819,0.96283,0.68157,1.0904,0.53033,1.34671,0.003862,0.003862,0.003862
64,28670.3,1.19556,0.78781,1.45221,0.93265,0.94884,0.96379,0.68209,1.08959,0.52897,1.34598,0.003763,0.003763,0.003763
65,29114.3,1.18668,0.78106,1.4456,0.93172,0.9493,0.96312,0.6833,1.0883,0.52782,1.34497,0.003664,0.003664,0.003664
66,29556.7,1.18981,0.78106,1.44975,0.93274,0.94986,0.96439,0.68346,1.08756,0.52589,1.34509,0.003565,0.003565,0.003565
67,29996.3,1.18397,0.76986,1.4432,0.93319,0.94928,0.96339,0.6844,1.08589,0.52519,1.34346,0.003466,0.003466,0.003466
68,30435.1,1.17706,0.76696,1.43408,0.93441,0.94986,0.96559,0.68548,1.08544,0.5238,1.34341,0.003367,0.003367,0.003367
69,30876.7,1.17711,0.77205,1.43968,0.93418,0.94986,0.96547,0.68609,1.08446,0.52276,1.34247,0.003268,0.003268,0.003268
